Year,Month,CPI
1361,1,0.3145190826839721
1361,2,0.2096793884559814
1361,3,0.2096793884559814
1361,4,0.2096793884559814
1361,5,0.2096793884559814
1361,6,0.2096793884559814
1361,7,0.3145190826839721
1361,8,0.3145190826839721
1361,9,0.3145190826839721
1361,10,0.3145190826839721
1361,11,0.3145190826839721
1361,12,0.3145190826839721
1362,1,0.3145190826839721
1362,2,0.3145190826839721
1362,3,0.3145190826839721
1362,4,0.3145190826839721
1362,5,0.3145190826839721
1362,6,0.3145190826839721
1362,7,0.3145190826839721
1362,8,0.3145190826839721
1362,9,0.3145190826839721
1362,10,0.3145190826839721
1362,11,0.3145190826839721
1362,12,0.4193587769119628
1363,1,0.4193587769119628
1363,2,0.4193587769119628
1363,3,0.4193587769119628
1363,4,0.4193587769119628
1363,5,0.4193587769119628
1363,6,0.3145190826839721
1363,7,0.4193587769119628
1363,8,0.4193587769119628
1363,9,0.4193587769119628
1363,10,0.4193587769119628
1363,11,0.4193587769119628
1363,12,0.4193587769119628
1364,1,0.4193587769119628
1364,2,0.4193587769119628
1364,3,0.4193587769119628
1364,4,0.4193587769119628
1364,5,0.4193587769119628
1364,6,0.4193587769119628
1364,7,0.4193587769119628
1364,8,0.4193587769119628
1364,9,0.4193587769119628
1364,10,0.4193587769119628
1364,11,0.4193587769119628
1364,12,0.4193587769119628
1365,1,0.4193587769119628
1365,2,0.4193587769119628
1365,3,0.4193587769119628
1365,4,0.4193587769119628
1365,5,0.4193587769119628
1365,6,0.5241984711399534
1365,7,0.5241984711399534
1365,8,0.5241984711399534
1365,9,0.5241984711399534
1365,10,0.5241984711399534
1365,11,0.5241984711399534
1365,12,0.5241984711399534
1366,1,0.5241984711399534
1366,2,0.6290381653679441
1366,3,0.6290381653679441
1366,4,0.6290381653679441
1366,5,0.6290381653679441
1366,6,0.6290381653679441
1366,7,0.6290381653679441
1366,8,0.6290381653679441
1366,9,0.6290381653679441
1366,10,0.6290381653679441
1366,11,0.6290381653679441
1366,12,0.7338778595959349
1367,1,0.7338778595959349
1367,2,0.7338778595959349
1367,3,0.8387175538239257
1367,4,0.8387175538239257
1367,5,0.7338778595959349
1367,6,0.7338778595959349
1367,7,0.8387175538239257
1367,8,0.8387175538239257
1367,9,0.8387175538239257
1367,10,0.8387175538239257
1367,11,0.8387175538239257
1367,12,0.9435572480519163
1368,1,0.9435572480519163
1368,2,0.9435572480519163
1368,3,0.9435572480519163
1368,4,0.9435572480519163
1368,5,0.9435572480519163
1368,6,0.9435572480519163
1368,7,0.9435572480519163
1368,8,0.9435572480519163
1368,9,0.9435572480519163
1368,10,0.9435572480519163
1368,11,0.9435572480519163
1368,12,0.9435572480519163
1369,1,1.048396942279907
1369,2,1.048396942279907
1369,3,1.048396942279907
1369,4,1.048396942279907
1369,5,0.9435572480519163
1369,6,1.048396942279907
1369,7,1.048396942279907
1369,8,1.048396942279907
1369,9,1.048396942279907
1369,10,1.048396942279907
1369,11,1.048396942279907
1369,12,1.048396942279907
1370,1,1.153236636507898
1370,2,1.153236636507898
1370,3,1.153236636507898
1370,4,1.153236636507898
1370,5,1.258076330735888
1370,6,1.258076330735888
1370,7,1.258076330735888
1370,8,1.258076330735888
1370,9,1.258076330735888
1370,10,1.258076330735888
1370,11,1.362916024963879
1370,12,1.46775571919187
1371,1,1.46775571919187
1371,2,1.46775571919187
1371,3,1.46775571919187
1371,4,1.46775571919187
1371,5,1.572595413419861
1371,6,1.572595413419861
1371,7,1.572595413419861
1371,8,1.572595413419861
1371,9,1.572595413419861
1371,10,1.572595413419861
1371,11,1.677435107647851
1371,12,1.677435107647851
1372,1,1.782274801875842
1372,2,1.782274801875842
1372,3,1.782274801875842
1372,4,1.782274801875842
1372,5,1.782274801875842
1372,6,1.887114496103833
1372,7,1.887114496103833
1372,8,1.887114496103833
1372,9,1.991954190331824
1372,10,1.991954190331824
1372,11,2.096793884559814
1372,12,2.201633578787805
1373,1,2.201633578787805
1373,2,2.306473273015796
1373,3,2.306473273015796
1373,4,2.411312967243786
1373,5,2.411312967243786
1373,6,2.516152661471777
1373,7,2.620992355699768
1373,8,2.620992355699768
1373,9,2.620992355699768
1373,10,2.725832049927758
1373,11,2.93551143838374
1373,12,3.145190826839721
1374,1,3.354870215295702
1374,2,3.669389297979674
1374,3,3.669389297979674
1374,4,3.669389297979674
1374,5,3.669389297979674
1374,6,3.669389297979674
1374,7,3.774228992207665
1374,8,3.879068686435656
1374,9,3.983908380663646
1374,10,4.193587769119627
1374,11,4.193587769119627
1374,12,4.298427463347617
1375,1,4.612946546031591
1375,2,4.612946546031591
1375,3,4.612946546031591
1375,4,4.612946546031591
1375,5,4.612946546031591
1375,6,4.612946546031591
1375,7,4.717786240259581
1375,8,4.822625934487572
1375,9,4.822625934487572
1375,10,4.927465628715563
1375,11,5.032305322943553
1375,12,5.032305322943553
1376,1,5.241984711399534
1376,2,5.346824405627525
1376,3,5.346824405627525
1376,4,5.346824405627525
1376,5,5.451664099855517
1376,6,5.451664099855517
1376,7,5.451664099855517
1376,8,5.556503794083507
1376,9,5.661343488311497
1376,10,5.766183182539487
1376,11,5.871022876767477
1376,12,5.975862570995469
1377,1,6.29038165367944
1377,2,6.29038165367944
1377,3,6.29038165367944
1377,4,6.29038165367944
1377,5,6.29038165367944
1377,6,6.39522134790743
1377,7,6.500061042135421
1377,8,6.604900736363412
1377,9,6.814580124819394
1377,10,6.814580124819394
1377,11,7.024259513275377
1377,12,7.129099207503367
1378,1,7.548457984415331
1378,2,7.653297678643321
1378,3,7.653297678643321
